,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,新規登録ページ,,,
,,,,,,,,,No,項目名,項目種類,説明
,,,,,,,,,①,Share,Img,タイトル
,,,,,,,,,②,新規登録,Link,会員登録ページに遷移する
,,,,,,,,,③,ログイン,Link,ログインページに遷移する
,,,,,,,,,④,新規登録タイトル,Text,会員登録タイトル
,,,,,,,,,⑤,ユーザーネーム,TextBox,会員登録するためのユーザーネームを入力する
,,,,,,,,,⑥,メールアドレス,TextBox,会員登録するためのメールアドレスを入力する
,,,,,,,,,⑦,パスワード,TextBox,会員登録するためのパスワードを入力する
,,,,,,,,,⑧,新規登録ボタン,Button,"会員登録を実行する
ログインページに遷移する"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,ログインページ,,,
,,,,,,,,,No,項目名,項目種類,説明
,,,,,,,,,①,Share,Img,タイトル
,,,,,,,,,②,会員登録,Link,会員登録ページに遷移する
,,,,,,,,,③,ログイン,Link,ログインページに遷移する
,,,,,,,,,④,ログインタイトル,Text,ログインタイトル
,,,,,,,,,⑤,メールアドレス,TextBox,ログインするためのメールアドレスを入力する
,,,,,,,,,⑥,パスワード,TextBox,ログインするためのパスワードを入力する
,,,,,,,,,⑦,ログインボタン,Button,投稿一覧ページに遷移する
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,投稿画面ページ,,,
,,,,,,,,,No,項目名,項目種類,説明
,,,,,,,,,①,Sidebar,Component,"・投稿画面の左側
・タイトル、ホーム画面のリンク、ログアウトボタン
・Textarea（投稿用）
・Button（送信用）"
,,,,,,,,,②,Div,Div,"・投稿画面の右側
・ホームというタイトル"
,,,,,,,,,③,Message,Component,"・投稿一覧
・ユーザーネーム、いいね処理、いいねの数
・投稿内容、投稿削除"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,投稿作成ページ,,,
,,,,,,,,,No,項目名,項目種類,説明
,,,,,,,,,①,Sidebar,Component,"・投稿画面の左側
・タイトル、ホーム画面のリンク、ログアウトボタン
・Textarea（投稿用）
・Button（送信用）"
,,,,,,,,,②,Div,Div,"・投稿画面の右側
・ホームというタイトル"
,,,,,,,,,③,Message,Component,"・投稿一覧
・ユーザーネーム、いいね処理、いいねの数
・投稿内容、投稿削除"
,,,,,,,,,④,Comment,Div,"・コメント投稿ボタン、コメントInput
・コメント（投稿内容、ユーザーネーム）"
